Date,Sponsored Production 55.0,Sponsored New 55.0,Sponsored Live,Nonsponsored Production 80.0,Nonsponsored New 80.0,Nonsponsored Live
2017-07-03,523,568,639,10556,10268,10511
2017-07-04,47,49,53,944,927,940
2017-07-05,907,984,1083,15350,14417,15257
2017-07-06,930,1019,1141,16639,15862,16534
2017-07-07,744,797,887,14037,13723,13927
2017-07-08,174,189,205,4198,4176,4184
2017-07-09,36,39,48,1243,1206,1236
2017-07-10,972,1083,1174,17828,16940,17730
2017-07-11,1023,1069,1221,17736,16890,17626
2017-07-12,1030,1121,1223,15533,14723,15458
2017-07-13,954,1065,1146,16255,15438,16172
2017-07-14,818,887,989,14000,13284,13902
2017-07-15,176,195,221,4135,3895,4104
2017-07-16,27,28,35,1224,1214,1225
2017-07-17,1075,1156,1225,16795,16044,16711
